Id,Category
0,8PSK
1,AM-SSB-SC
2,AM-DSB-SC
3,QPSK
4,QPSK
5,16PSK
6,8PSK
7,QPSK
8,16PSK
9,16PSK
10,4ASK
11,4ASK
12,BPSK
13,4ASK
14,AM-DSB-SC
15,AM-DSB-SC
16,AM-SSB-SC
17,16PSK
18,OOK
19,AM-SSB-SC
20,4ASK
21,QPSK
22,AM-SSB-SC
23,AM-DSB-SC
24,16PSK
25,OOK
26,AM-SSB-SC
27,OOK
28,AM-SSB-SC
29,8PSK
30,AM-SSB-SC
31,16PSK
32,OOK
33,4ASK
34,QPSK
35,AM-DSB-SC
36,4ASK
37,AM-DSB-SC
38,8PSK
39,FM
40,AM-SSB-SC
41,8PSK
42,FM
43,16PSK
44,16PSK
45,FM
46,BPSK
47,QPSK
48,BPSK
49,4ASK
50,8PSK
51,QPSK
52,8PSK
53,OQPSK
54,OOK
55,AM-DSB-SC
56,FM
57,4ASK
58,8PSK
59,AM-DSB-SC
60,AM-SSB-SC
61,8PSK
62,QPSK
63,QPSK
64,OOK
65,BPSK
66,AM-SSB-SC
67,OQPSK
68,OQPSK
69,QPSK
70,FM
71,4ASK
72,OQPSK
73,OQPSK
74,OOK
75,QPSK
76,QPSK
77,OOK
78,8PSK
79,16PSK
80,OOK
81,BPSK
82,QPSK
83,OOK
84,8PSK
85,16PSK
86,16PSK
87,OQPSK
88,4ASK
89,QPSK
90,BPSK
91,OQPSK
92,AM-SSB-SC
93,BPSK
94,AM-SSB-SC
95,AM-SSB-SC
96,8PSK
97,AM-SSB-SC
98,AM-SSB-SC
99,8PSK
100,AM-DSB-SC
101,BPSK
102,16PSK
103,4ASK
104,OQPSK
105,16PSK
106,QPSK
107,BPSK
108,16PSK
109,8PSK
110,FM
111,BPSK
112,4ASK
113,OQPSK
114,AM-SSB-SC
115,BPSK
116,8PSK
117,4ASK
118,OQPSK
119,OOK
120,FM
121,OOK
122,OOK
123,AM-DSB-SC
124,AM-DSB-SC
125,QPSK
126,8PSK
127,OQPSK
128,BPSK
129,4ASK
130,OOK
131,AM-DSB-SC
132,AM-DSB-SC
133,AM-DSB-SC
134,AM-DSB-SC
135,4ASK
136,OOK
137,OOK
138,4ASK
139,BPSK
140,16PSK
